  A    B   | Sum  | Cout | Overflow |   ExSum  | ExCout | ExOverflow
 0001 0000 | 0001 |  0   |     0    |   0001   |    0   |     0
 0000 1100 | 1100 |  0   |     0    |   1100   |    0   |     0
 0111 0111 | 1110 |  0   |     1    |   1110   |    0   |     1
 1000 1000 | 0000 |  1   |     1    |   0000   |    1   |     1
 1111 0111 | 0110 |  1   |     0    |   0110   |    1   |     0
 0011 1101 | 0000 |  1   |     0    |   0000   |    1   |     0
 1111 1111 | 1110 |  1   |     0    |   1110   |    1   |     0
 0001 0001 | 0010 |  0   |     0    |   0010   |    0   |     0
 0010 0001 | 0011 |  0   |     0    |   0011   |    0   |     0
 0100 0101 | 1001 |  0   |     1    |   1001   |    0   |     1
 1110 1101 | 1011 |  1   |     0    |   1011   |    1   |     0
 1001 1000 | 0001 |  1   |     1    |   0001   |    1   |     1
 1011 1010 | 0101 |  1   |     1    |   0001   |    1   |     1
 1101 0111 | 0100 |  1   |     0    |   0100   |    1   |     0
 0001 1100 | 1101 |  0   |     0    |   1101   |    0   |     0
 0010 1010 | 1100 |  0   |     0    |   1100   |    0   |     0
